2473,Medhat,1998,6
1066,Fathi,1985,12
1952,Gerrad,1983,6
1079,Ballack,2013,7
233,Gomez,1992,3
1560,Hatfield,1990,9
273,Gerrad,1984,16
681,Figo,2011,16
798,Neuer,1986,2
1141,Ronaldo,1982,4
2607,Klose,2002,14
2067,Cristiano Ronaldo,1985,3
1899,Villa,1995,3
2098,Hesham,1985,8
2537,Lacazette,2014,9
2485,Bergkamp,2000,14
1822,Messi,1983,12
610,Nesta,2014,12
2128,Gomez,2007,10
100,Medhat,1995,5
2071,Gerrad,1981,9
947,Walid,2004,13
1160,Beckham,2001,5
1788,Magdy,1987,12
1731,Henry,1983,11
982,Walid,1988,11
1934,Henry,2008,9
2419,Lampard,1987,8
1767,Yorke,1988,2
1381,Maldini,2000,14
1752,Beckham,2007,11
1291,Cristiano Ronaldo,1989,12
404,Figo,1998,10
1546,Gomez,1992,7
1046,Neuer,2005,6
2103,Villa,1992,5
1974,Bergkamp,1993,4
459,Bergkamp,1991,13
975,Van PersieRonaldinho,1988,11
2185,Gomez,1992,15
1091,Figo,2004,8
437,Hesham,2005,5
15,Bergkamp,2002,16
1999,Walid,1993,15
1214,Hesham,2005,11
2155,Nesta,1988,9
387,Klose,2006,6
200,Beckham,1992,6
2091,Nesta,1992,11
1446,Maldini,2002,16
501,Maldini,2004,5
580,Cristiano Ronaldo,1987,9
2649,Hesham,2015,15
2194,Fathi,1991,2
1360,Figo,2012,12
1009,Gerrad,1982,5
481,Nesta,2001,6
1075,Bergkamp,1992,3
1639,Cristiano Ronaldo,1990,3
2189,Van PersieRonaldinho,2001,11
1744,Gerrad,1984,10
2076,Figo,1994,3
749,Ozil,2007,6
981,Neuer,1999,13
1333,Klose,1984,1
2537,Maldini,1991,8
2552,Lampard,2006,11
1362,Ronaldo,2009,7
733,Medhat,2001,5
942,Medhat,1999,2
700,Nesta,1980,11
2377,Maldini,1997,3
462,Gomez,2011,10
1912,Ronaldo,1982,14
585,Medhat,1990,13
336,Ballack,1989,10
1489,Henry,2007,4
85,Fathi,1987,14
1942,Messi,1981,9
2457,Ballack,2002,12
367,Yorke,1985,5
1457,Beckham,2007,2
1797,Lampard,2013,5
933,Ozil,1995,2
592,Van PersieRonaldinho,1999,15
558,Griezman,1990,2
2344,Bergkamp,2003,5
1730,Van PersieRonaldinho,1986,11
2593,Villa,2004,3
2033,Ballack,2015,2
1484,Cristiano Ronaldo,1984,2
2016,Hesham,2004,6
282,Ballack,1983,8
1577,Neuer,2003,1
2517,Medhat,2014,8
1257,Ozil,2003,7
1427,Griezman,1986,13
574,Hesham,1983,12
473,Magdy,1996,15
352,Villa,1985,11
1944,Gerrad,2013,12
1252,Villa,2001,1
2294,Villa,1993,1
2404,Walid,1996,7
26,Ballack,1996,8
855,Messi,1983,1
1385,Gomez,2009,13
862,Villa,2010,5
2559,Yorke,1987,15
1403,Henry,1999,12
2407,Magdy,2007,3
28,Nesta,1999,6
770,Maldini,2011,12
1665,Beckham,2006,3
2175,Fathi,1996,6
57,Ozil,1991,14
1061,Inesta,2013,9
1207,Hatfield,1984,16
2664,Figo,1980,8
2474,Nesta,2004,2
1696,Bergkamp,1989,14
943,Fathi,1982,1
2209,Ozil,1988,8
2219,Ballack,2013,3
695,Lampard,2011,12
1014,Bergkamp,2008,6
1124,Klose,2000,3
627,Van PersieRonaldinho,1998,9
1769,Figo,1980,6
93,Ballack,1982,6
2630,Cristiano Ronaldo,1982,15
1832,Ronaldo,2000,12
517,Maldini,1995,2
1737,Bergkamp,2015,14
2408,Villa,1990,10
1646,Griezman,1996,7
1868,Nesta,1987,15
1366,Figo,1983,14
1479,Magdy,2010,9
1170,Messi,2000,5
2313,Ballack,1992,3
1067,Cristiano Ronaldo,2011,5
2460,Neuer,1984,1
1135,Maldini,1990,5
1547,Gomez,1986,1
939,Klose,1984,14
408,Bergkamp,1998,13
642,Van PersieRonaldinho,2015,3
1982,Ronaldinho,2000,4
1557,Beckham,1995,12
1796,Walid,2008,15
1266,Henry,1995,4
1370,Cristiano Ronaldo,2007,2
1737,Van PersieRonaldinho,1984,10
1563,Klose,2015,1
1625,Villa,2001,1
1945,Hatfield,2013,11
2622,Ballack,2015,15
2374,Bergkamp,2010,15
1277,Ronaldinho,1996,6
1803,Hesham,1981,3
724,Messi,1999,5
1777,Bergkamp,1992,8
439,Hesham,2012,1
1100,Ballack,1998,13
2257,Lacazette,1995,12
2116,Medhat,1992,16
2333,Beckham,1989,16
572,Lampard,1987,3
2350,Nesta,2002,11
306,Hesham,2010,8
376,Medhat,2013,7
1056,Klose,1988,15
2317,Magdy,1989,9
426,Messi,1989,9
116,Cristiano Ronaldo,2008,6
2392,Neuer,2010,5
2656,Hatfield,1980,6
2205,Ronaldo,1992,3
2591,Figo,2009,13
1238,Maldini,2003,4
792,Hesham,2014,10
362,Van PersieRonaldinho,1997,4
2441,Ronaldinho,2001,2
341,Lacazette,2004,1
1920,Nesta,1994,12
105,Villa,1991,14
2504,Neuer,1981,6
2653,Gomez,1993,3
2265,Hatfield,1981,8
452,Villa,2009,8
1792,Ballack,1997,1
377,Ozil,1998,2
42,Ronaldo,1997,15
597,Lacazette,2006,2
1888,Henry,2011,10
286,Gerrad,2014,14
732,Magdy,1980,5
2497,Hatfield,2003,8
1891,Villa,2003,15
2439,Ozil,2011,9
472,Gomez,1994,8
2096,Van PersieRonaldinho,1995,10
1850,Klose,2000,3
6,Cristiano Ronaldo,1984,13
1711,Klose,2006,10
1182,Villa,2010,11
1876,Yorke,2014,10
2628,Cristiano Ronaldo,2005,12
960,Bergkamp,1997,6
2383,Van PersieRonaldinho,1994,15
1798,Lacazette,2011,1
1174,Klose,2002,16
1045,Henry,1985,1
1291,Messi,2015,13
529,Klose,2008,14
2477,Villa,2005,2
2064,Henry,2005,6
345,Ozil,1996,1
1577,Gerrad,1999,3
1159,Nesta,1991,4
1816,Messi,1985,5
1138,Inesta,1993,11
2579,Griezman,2001,6
1217,Messi,1982,2
767,Fathi,2014,13
161,Hatfield,2006,3
1260,Inesta,2015,6
1028,Magdy,2002,11
1870,Bergkamp,2004,16
1052,Gomez,2006,2
818,Yorke,2002,3
920,Ballack,1997,14
917,Yorke,2014,4
1024,Medhat,2007,7
1672,Hesham,1989,2
1825,Ozil,1992,1
1966,Inesta,2012,5
1707,Yorke,1993,12
1315,Klose,2015,1
1324,Beckham,2008,1
1135,Henry,2015,9
1175,Ozil,1994,9
2069,Hesham,2010,5
2115,Ozil,2010,3
429,Gerrad,1999,12
2622,Walid,2006,10
2353,Griezman,1992,6
212,Walid,1999,3
2394,Ballack,1990,12
2172,Lampard,2011,5
978,Ozil,2007,14
1180,Hatfield,1995,3
2219,Ronaldinho,2002,11
863,Hatfield,2000,16
2472,Van PersieRonaldinho,2008,12
1782,Ronaldinho,1996,12
996,Gomez,2014,11
1196,Yorke,1995,2
2099,Hatfield,1993,6
345,Ronaldo,1996,16
1295,Gerrad,2006,7
966,Messi,1986,8
333,Inesta,1999,6
2430,Ozil,1981,15
589,Lacazette,1986,5
987,Nesta,2007,3
1543,Gerrad,1992,2
493,Beckham,2015,9
665,Ozil,1999,3
2350,Gerrad,1984,9
1053,Klose,1989,5
827,Yorke,1984,13
114,Ozil,2002,14
2480,Maldini,2006,12
1335,Messi,2001,7
1365,Medhat,1981,15
2566,Nesta,1999,8
1195,Ballack,2001,3
809,Bergkamp,2001,6
90,Hatfield,2014,14
596,Ronaldo,2012,4
631,Klose,2006,15
2207,Villa,2000,4
334,Griezman,2004,2
2127,Maldini,2006,2
1405,Maldini,1991,4
819,Gerrad,2002,10
120,Yorke,1980,2
223,Villa,2001,12
1549,Figo,2013,3
2307,Griezman,1983,7
